Description,Scenario,AgentType,Difficulty,TimeToComplete,Strategy,Challenging,GeneralComments,Age,Gender,Occupation,ComputerUsage,DominantHand,EnglishAsFirst,ExpWithRobots,ExpWithRCCars,ExpWithFPS,ExpWithRTS,ExpWithRobotComments,InternalUserID,RosariosComments
Grab the blue box closest to you on the table.,Configuration_11_v2.png,human,5,0:00:12,Using distance to help me,It was very easy. The hard part was when there was a bunch of the same color near each other,none,27,male,pest control,10/15/2016,Right,1,1,1,5,5,No I haven't,3,
"There is a cluster of 3 blue blocks to your left. It is near an orange block. Grab the one in the center, it should be the closest one to you in that group.",Configuration_2_v1.png,human,4,0:00:37,Using distance to help me,It was very easy. The hard part was when there was a bunch of the same color near each other,none,27,male,pest control,10/15/2016,Right,1,1,1,5,5,No I haven't,3,
Pick up the blue block that is behind the green block closest to you.,Configuration_14_v2.png,human,4,0:00:47,"At first I looked to see how many there were of the color of the block of interest. Then I looked to see if it was close, far, or to the right or left of the subject. Then I looked to see what blocks were closest around it. That was the order of instruction I followed and it seemed to work well.","The task was intellectually stimulating, but not challenging. Once I thought through the problem, and reread my instructions as if I was the subject, I had a pretty good idea that I was on the right track.","Thanks! Carnegie Mellon is a world class institution and I am proud to say that I am from Pittsburgh (where CMU is located, naturally). Go Steelers!",37,male,Clinical Project Manager,>20,Right,1,2,3,5,4,I've never seen anything beyond what you would see at Disneyworld or the like. I like watching the robot soccer games.,7,
Pick up the yellow block the third yellow block back on your right hand side next to the blue block.,Configuration_4_v1.png,human,2,0:01:04,"At first I looked to see how many there were of the color of the block of interest. Then I looked to see if it was close, far, or to the right or left of the subject. Then I looked to see what blocks were closest around it. That was the order of instruction I followed and it seemed to work well.","The task was intellectually stimulating, but not challenging. Once I thought through the problem, and reread my instructions as if I was the subject, I had a pretty good idea that I was on the right track.","Thanks! Carnegie Mellon is a world class institution and I am proud to say that I am from Pittsburgh (where CMU is located, naturally). Go Steelers!",37,male,Clinical Project Manager,>20,Right,1,2,3,5,4,I've never seen anything beyond what you would see at Disneyworld or the like. I like watching the robot soccer games.,7,
Pick up the green block that is farthest on your left.,Configuration_3_v2.png,human,5,0:00:21,"At first I looked to see how many there were of the color of the block of interest. Then I looked to see if it was close, far, or to the right or left of the subject. Then I looked to see what blocks were closest around it. That was the order of instruction I followed and it seemed to work well.","The task was intellectually stimulating, but not challenging. Once I thought through the problem, and reread my instructions as if I was the subject, I had a pretty good idea that I was on the right track.","Thanks! Carnegie Mellon is a world class institution and I am proud to say that I am from Pittsburgh (where CMU is located, naturally). Go Steelers!",37,male,Clinical Project Manager,>20,Right,1,2,3,5,4,I've never seen anything beyond what you would see at Disneyworld or the like. I like watching the robot soccer games.,7,
Pick up the green block near the center that is closely sandwiched between two other green blocks.,Configuration_8_v1.png,human,1,0:00:41,"At first I looked to see how many there were of the color of the block of interest. Then I looked to see if it was close, far, or to the right or left of the subject. Then I looked to see what blocks were closest around it. That was the order of instruction I followed and it seemed to work well.","The task was intellectually stimulating, but not challenging. Once I thought through the problem, and reread my instructions as if I was the subject, I had a pretty good idea that I was on the right track.","Thanks! Carnegie Mellon is a world class institution and I am proud to say that I am from Pittsburgh (where CMU is located, naturally). Go Steelers!",37,male,Clinical Project Manager,>20,Right,1,2,3,5,4,I've never seen anything beyond what you would see at Disneyworld or the like. I like watching the robot soccer games.,7,
Pick up the orange block that is closest to you.,Configuration_10_v2.png,human,5,0:00:26,"At first I looked to see how many there were of the color of the block of interest. Then I looked to see if it was close, far, or to the right or left of the subject. Then I looked to see what blocks were closest around it. That was the order of instruction I followed and it seemed to work well.","The task was intellectually stimulating, but not challenging. Once I thought through the problem, and reread my instructions as if I was the subject, I had a pretty good idea that I was on the right track.","Thanks! Carnegie Mellon is a world class institution and I am proud to say that I am from Pittsburgh (where CMU is located, naturally). Go Steelers!",37,male,Clinical Project Manager,>20,Right,1,2,3,5,4,I've never seen anything beyond what you would see at Disneyworld or the like. I like watching the robot soccer games.,7,
Pick up the green block that is in the center of the group of five green blocks on your left.,Configuration_6_v1.png,human,3,0:00:38,"At first I looked to see how many there were of the color of the block of interest. Then I looked to see if it was close, far, or to the right or left of the subject. Then I looked to see what blocks were closest around it. That was the order of instruction I followed and it seemed to work well.","The task was intellectually stimulating, but not challenging. Once I thought through the problem, and reread my instructions as if I was the subject, I had a pretty good idea that I was on the right track.","Thanks! Carnegie Mellon is a world class institution and I am proud to say that I am from Pittsburgh (where CMU is located, naturally). Go Steelers!",37,male,Clinical Project Manager,>20,Right,1,2,3,5,4,I've never seen anything beyond what you would see at Disneyworld or the like. I like watching the robot soccer games.,7,
Pick up the blue block farthest on your right.,Configuration_11_v2.png,human,5,0:00:11,"At first I looked to see how many there were of the color of the block of interest. Then I looked to see if it was close, far, or to the right or left of the subject. Then I looked to see what blocks were closest around it. That was the order of instruction I followed and it seemed to work well.","The task was intellectually stimulating, but not challenging. Once I thought through the problem, and reread my instructions as if I was the subject, I had a pretty good idea that I was on the right track.","Thanks! Carnegie Mellon is a world class institution and I am proud to say that I am from Pittsburgh (where CMU is located, naturally). Go Steelers!",37,male,Clinical Project Manager,>20,Right,1,2,3,5,4,I've never seen anything beyond what you would see at Disneyworld or the like. I like watching the robot soccer games.,7,
Pick up the orange block that is farthest away from you.,Configuration_5_v1.png,human,4,0:00:14,"At first I looked to see how many there were of the color of the block of interest. Then I looked to see if it was close, far, or to the right or left of the subject. Then I looked to see what blocks were closest around it. That was the order of instruction I followed and it seemed to work well.","The task was intellectually stimulating, but not challenging. Once I thought through the problem, and reread my instructions as if I was the subject, I had a pretty good idea that I was on the right track.","Thanks! Carnegie Mellon is a world class institution and I am proud to say that I am from Pittsburgh (where CMU is located, naturally). Go Steelers!",37,male,Clinical Project Manager,>20,Right,1,2,3,5,4,I've never seen anything beyond what you would see at Disneyworld or the like. I like watching the robot soccer games.,7,
